Server_No,IP,ssh,SSH_Status,Tomcat_Name,Tomcat_Status,Application_Name,SHA_ID,CPU_Cores,Mem_Total_MiB,Mem_Used_MiB,Mem_Free_MiB,Default_Config_URL
24,10.30.160.163,ssh passed,tomcat8-callback,UP,SMSSenderCallBack,eac148fcf08d0a637fd9421d14dfeae9fbab41f6,4,7886,2505,546,/jndi/rmi://SMSSenderThrottler-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
25,10.30.160.164,ssh passed,tomcat8-support,UP,SMSSenderSupport,eac148fcf08d0a637fd9421d14dfeae9fbab41f6,4,7886,3338,940,/jndi/rmi://SMSSenderThrottler-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
26,10.30.160.165,ssh passed,tomcat8-sendermanagement,UP,SenderManagement,78aaf8f53d2bd3838f1ec40671cd7f24463777e2,4,7886,1168,1486,/jndi/rmi://SMSSenderThrottler-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
27,10.30.161.211,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1827,207,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
28,10.30.161.212,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1819,217,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
29,10.30.161.7,ssh passed,tomcat8-cachemanager,UP,CacheManager,cf4536075dabbb4b70c92d291449efdc3d4d9e0b,4,32462,1696,1145,/jndi/rmi://host0059.sh3.gupshup.me:9999/jmxrmi
30,10.30.161.8,ssh passed,tomcat8-cachemanager,UP,CacheManager,cf4536075dabbb4b70c92d291449efdc3d4d9e0b,4,32462,1666,1123,/jndi/rmi://host0059.sh3.gupshup.me:9999/jmxrmi
31,10.30.162.5,ssh passed,tomcat8-smppreceiver,DOWN,SMPPReceiver,Not-Found,4,15938,1537,8097,Not-Found
32,10.30.161.213,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1819,142,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
33,10.30.161.214,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1820,222,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
34,10.30.160.166,ssh passed,No-Tomcats-found,N/A,N/A,N/A,4,64250,3185,56508,Not-Found
35,10.30.160.168,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1872,235,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
36,10.30.160.169,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1855,250,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
